reaction_id,reactants,products,rate_constant,reaction_family,reaction_phase,publication_string,publication_doi,underlying_data_publication_string,underlying_data_publication_doi,Notes
R013,ALD,HO2+ETHP+CO,ALD_JPL19,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R014,ACT,MO2+ACO3,CH3COCH3A_JPL19,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R014a,ACT,2.00000*MO2+CO,CH3COCH3B_JPL19,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R015,UALD,1.22000*HO2+0.78400*ACO3+1.22000*CO+0.35000*HCHO+0.43400*ALD+0.21600*KET,UALD_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
TRP01,PINAL,HO2+HC10P+CO,ALD_JPL19,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
TRP02,LIMAL,HO2+HC10P+CO,ALD_JPL19,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R016,MEK,0.10000*MO2+ETHP+0.90000*ACO3+0.10000*CO,MEK_JGR19,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R017,KET,1.50000*ETHP+0.50000*ACO3+0.50000*CO,KET_JGR19,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R018,HKET,HO2+ACO3+HCHO,HKET_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R019,MACR,0.34000*HO+0.66000*HO2+0.67000*ACO3+0.33000*MACP+0.34000*XO2+0.67000*CO+0.67000*HCHO,MACR_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R020,MVK,0.30000*MO2+0.30000*MACP+0.70000*CO+0.70000*UALD,MVK_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R021,GLY,2.00000*CO,GLYH2_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R022,GLY,HCHO+CO,GLYF_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R023,GLY,2.00000*HO2+2.00000*CO,GLYHX_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R024,MGLY,HO2+ACO3+CO,MGLY_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R025,DCB1,1.50000*HO2+0.25000*ACO3+0.20000*XO2+CO+0.50000*GLY+0.50000*MGLY,MGLY_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R026,DCB2,1.50000*HO2+0.25000*ACO3+0.20000*XO2+CO+0.50000*GLY+0.50000*MGLY,MGLY_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R027,BALD,CHO+HO2+CO,BALD_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R028,OP1,HO+HO2+HCHO,OP1_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R029,OP2,HO+HO2+ALD,OP1_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
TRP03,OPB,HO+HO2+ALD,OP1_RACM2,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R029a,VOP3,HO+HO2+ALD,OP1_RACM2,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R030,PAA,HO+MO2,PAA_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R031,ONIT,HO2+NO2+0.20000*ALD+0.80000*KET,ONIT_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R032,PAN,ACO3+NO2,PAN1_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R033,PAN,MO2+NO3,PAN2_RACM2,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
TRP55,VTRPN,NO2+0.67000*KET+0.33000*UALD,ONIT_RACM2,CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Fisher et al. 2016,https://doi.org/10.5194/acp-16-5969-2016,Photolysis rates of monoterpene nitrates are set to the same rate as the other organic nitrate species in CRACMM (ONIT). Photolysis products are NO2 and fragmentation products.
TRP56,VHONIT,HKET+NO2,ONIT_RACM2,CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Fisher et al. 2016,https://doi.org/10.5194/acp-16-5969-2016,Photolysis rates of monoterpene nitrates are set to the same rate as the other organic nitrate species in CRACMM (ONIT). Photolysis products are NO2 and fragmentation products.
R034,O3+HO,HO2,1.7000E-12*exp(-9.4000E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R035,O3+HO2,HO,1.0000E-14*exp(-4.9000E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R036,O3+NO,NO2,3.0000E-12*exp(-1.5000E+03/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R037,O3+NO2,NO3,1.2000E-13*exp(-2.4500E+03/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R038,O3P+O2+M,O3,6.1000E-34*(T/300)^(-2.4000E+00),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R039,O3P+O3,,8.0000E-12*exp(-2.0600E+03/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R040,O1D+O2,O3P,3.3000E-11*exp(5.5000E+01/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R041,O1D+N2,O3P,2.1500E-11*exp(1.1000E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R042,O1D+H2O,2.00000*HO,1.6300E-10*exp(6.0000E+01/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R043,HO+H2,HO2,2.8000E-12*exp(-1.8000E+03/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R044,HO+HO2,,4.8000E-11*exp(2.5000E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R045,HO2+HO2,H2O2,k0=3.0000E-13*exp(4.6000E+02/T);k1=2.1000E-33*exp(9.2000E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R046,HO2+HO2+H2O,H2O2,k0=4.2000E-34*exp(2.6600E+03/T);k1=2.9400E-54*exp(3.1200E+03/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R047,H2O2+HO,HO2,1.8000E-12*exp(0.0000E+00/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R048,NO+O3P,NO2,ko=9.1000E-32*exp(0.0000E+00/T)*(T/300)^-1.5000E+00;kinf=3.0000E-11*exp(0.0000E+00/T)*(T/300)^0.0000E+00;n=1.0000E+00;F=6.0000E-01,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R049,NO+HO,HONO,ko=7.1000E-31*exp(0.0000E+00/T)*(T/300)^-2.6000E+00;kinf=3.6000E-11*exp(0.0000E+00/T)*(T/300)^-1.0000E-01;n=1.0000E+00;F=6.0000E-01,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R050,NO+HO2,NO2+HO,3.4400E-12*exp(2.6000E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R051,NO+HO2,HNO3,k0=6.0950E-14*exp(2.7000E+02/T)*(T/300)^-1.0000E+00;k2=6.8570E-34*exp(2.7000E+02/T)*(T/300)^1.0000E+00;k3=-5.9680E-14*exp(2.7000E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R052,NO+NO+O2,2.00000*NO2,4.2500E-39*exp(6.6350E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R053,HONO+HO,NO2,3.0000E-12*exp(2.5000E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R054,NO2+O3P,NO,5.3000E-12*exp(2.0000E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R055,NO2+O3P,NO3,ko=3.4000E-31*exp(0.0000E+00/T)*(T/300)^-1.6000E+00;kinf=2.3000E-11*exp(0.0000E+00/T)*(T/300)^-2.0000E-01;n=1.0000E+00;F=6.0000E-01,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R056,NO2+HO,HNO3,ko=1.8000E-30*exp(0.0000E+00/T)*(T/300)^-3.0000E+00;kinf=2.8000E-11*exp(0.0000E+00/T)*(T/300)^0.0000E+00;n=1.0000E+00;F=6.0000E-01,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R057,HNO3+HO,NO3,k0=2.4000E-14*exp(4.6000E+02/T);k1=2.7000E-17*exp(2.1990E+03/T);k3=6.5000E-34*exp(1.3350E+03/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R058,NO3+HO,HO2+NO2,2.0000E-11,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R059,NO3+HO2,0.70000*HO+0.70000*NO2+0.30000*HNO3,3.5000E-12,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R060,NO3+NO,2.00000*NO2,1.7000E-11*exp(1.2500E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R061,NO3+NO2,NO+NO2,4.3500E-14*exp(-1.3350E+03/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R062,NO3+NO3,2.00000*NO2,8.5000E-13*exp(-2.4500E+03/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R063,NO3+NO2,N2O5,ko=2.4000E-30*exp(0.0000E+00/T)*(T/300)^-3.0000E+00;kinf=1.6000E-12*exp(0.0000E+00/T)*(T/300)^1.0000E-01;n=1.0000E+00;F=6.0000E-01,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R064,N2O5,NO2+NO3,1.7241E+26*exp(-1.0840E+04/T)\*R063,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R065,N2O5+H2O,2.00000*HNO3,1.0000E-22,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R066,NO2+HO2,HNO4,ko=1.9000E-31*exp(0.0000E+00/T)*(T/300)^-3.4000E+00;kinf=4.0000E-12*exp(0.0000E+00/T)*(T/300)^-3.0000E-01;n=1.0000E+00;F=6.0000E-01,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R067,HNO4,HO2+NO2,4.7619E+26*exp(-1.0900E+04/T)\*R066,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R068,HNO4+HO,NO2,4.5000E-13*exp(6.1000E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R069,SO2+HO,HO2+SULF+SULRXN,ko=2.9000E-31*exp(0.0000E+00/T)*(T/300)^-4.1000E+00;kinf=1.7000E-12*exp(0.0000E+00/T)*(T/300)^2.0000E-01;n=1.0000E+00;F=6.0000E-01,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R070,CO+HO,HO2,k0=1.4400E-13*exp(0.0000E+00/T);k1=2.7400E-33*exp(0.0000E+00/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R071,HO+CH4,MO2,2.4500E-12*exp(-1.7750E+03/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R072,ETH+HO,ETHP,7.6600E-12*exp(-1.0200E+03/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R073,HC3+HO,HC3P+0.00003*ASOATJ,7.6800E-12*exp(-3.7000E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R074,HC5+HO,HC5P+0.00134*ASOATJ,1.0100E-11*exp(-2.4500E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R076,ETE+HO,ETEP,ko=1.0000E-28*exp(0.0000E+00/T)*(T/300)^-4.5000E+00;kinf=8.8000E-12*exp(0.0000E+00/T)*(T/300)^-8.5000E-01;n=1.0000E+00;F=6.0000E-01,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R077,OLT+HO,OLTP,5.7200E-12*exp(5.0000E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R078,OLI+HO,OLIP,1.3300E-11*exp(5.0000E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R080,ACE+HO,0.65000*HO+0.35000*HO2+0.35000*CO+0.65000*GLY+0.35000*ORA1,ko=5.5000E-30*exp(0.0000E+00/T)*(T/300)^0.0000E+00;kinf=8.3000E-13*exp(0.0000E+00/T)*(T/300)^2.0000E+00;n=1.0000E+00;F=6.0000E-01,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
ROCARO31,BEN+HO,0.47000*BENP+0.53000*PHEN+0.53000*HO2,2.3300E-12*exp(-1.9300E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
ROCARO41,TOL+HO,0.82000*TOLP+0.18000*CSL+0.18000*HO2,1.8100E-12*exp(3.5400E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
ROCARO51,XYL+HO,0.83000*XYLP+0.17000*CSL+0.17000*HO2,2.3300E-11,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
ROCARO61,EBZ+HO,0.82000*EBZP+0.18000*CSL+0.18000*HO2,7.1600E-12,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
RAM01,ISO+O3,0.25000*HO+0.25000*HO2+0.40000*MO2+0.01800*ACO3+0.10000*MACP+0.09000*H2O2+0.22000*CO+HCHO+0.30000*MACR+0.14000*MVK+0.28000*ORA1+0.15300*OLT,1.5800E-14*exp(-2.0000E+03/T),CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Wiser et al. 2023,https://doi.org/10.5194/gmd-16-1801-2023,"From AMOREv1.2 isoprene condensation of a detailed isoprene mechanism by Wennberg et al. (2018). For more details on the initial development of the AMORE technique and condensed isoprene mechanism (i.e., AMOREv1.0), see Wiser et al. (2023). For more details specific to AMOREv1.2, see Skipper et al. (2024)."
RAM02,ISO+NO3,0.40000*NO2+0.04500*ISON+0.35000*HCHO+0.55500*INO2+0.26000*MVK+0.02800*MACR,2.9500E-12*exp(-4.5000E+02/T),CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Wiser et al. 2023,https://doi.org/10.5194/gmd-16-1801-2023,"From AMOREv1.2 isoprene condensation of a detailed isoprene mechanism by Wennberg et al. (2018). For more details on the initial development of the AMORE technique and condensed isoprene mechanism (i.e., AMOREv1.0), see Wiser et al. (2023). For more details specific to AMOREv1.2, see Skipper et al. (2024)."
RAM03,ISO+HO,ISOP+0.25000*HCHO+0.03000*MACR+0.05000*MGLY,2.6900E-11*exp(3.9000E+02/T),CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Wiser et al. 2023,https://doi.org/10.5194/gmd-16-1801-2023,"From AMOREv1.2 isoprene condensation of a detailed isoprene mechanism by Wennberg et al. (2018). For more details on the initial development of the AMORE technique and condensed isoprene mechanism (i.e., AMOREv1.0), see Wiser et al. (2023). For more details specific to AMOREv1.2, see Skipper et al. (2024)."
RAM04,ISOP+HO2,ISHP+0.07000*HO2+0.50000*HO,4.5000E-13*exp(1.3000E+03/T),CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Wiser et al. 2023,https://doi.org/10.5194/gmd-16-1801-2023,"From AMOREv1.2 isoprene condensation of a detailed isoprene mechanism by Wennberg et al. (2018). For more details on the initial development of the AMORE technique and condensed isoprene mechanism (i.e., AMOREv1.0), see Wiser et al. (2023). For more details specific to AMOREv1.2, see Skipper et al. (2024)."
RAM05,ISOP+NO,0.13000*ISON+0.40000*HCHO+0.88000*HO2+0.87000*NO2+0.18000*MACR+0.51000*MVK,6.0000E-12*exp(3.5000E+02/T),CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Wiser et al. 2023,https://doi.org/10.5194/gmd-16-1801-2023,"From AMOREv1.2 isoprene condensation of a detailed isoprene mechanism by Wennberg et al. (2018). For more details on the initial development of the AMORE technique and condensed isoprene mechanism (i.e., AMOREv1.0), see Wiser et al. (2023). For more details specific to AMOREv1.2, see Skipper et al. (2024)."
RAM06,ISHP+HO,ISOP,4.6000E-12*exp(2.0000E+02/T),CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Wiser et al. 2023,https://doi.org/10.5194/gmd-16-1801-2023,"From AMOREv1.2 isoprene condensation of a detailed isoprene mechanism by Wennberg et al. (2018). For more details on the initial development of the AMORE technique and condensed isoprene mechanism (i.e., AMOREv1.0), see Wiser et al. (2023). For more details specific to AMOREv1.2, see Skipper et al. (2024)."
RAM07,ISHP+HO,0.04000*MGLY+0.02000*GLY+0.13000*MVK+0.44000*IEPOX+0.11000*ACO3+0.03000*MACR+2.00000*HO+0.34000*HO2+0.14000*IPX+CO,2.9700E-11*exp(3.9000E+02/T),CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Wiser et al. 2023,https://doi.org/10.5194/gmd-16-1801-2023,"From AMOREv1.2 isoprene condensation of a detailed isoprene mechanism by Wennberg et al. (2018). For more details on the initial development of the AMORE technique and condensed isoprene mechanism (i.e., AMOREv1.0), see Wiser et al. (2023). For more details specific to AMOREv1.2, see Skipper et al. (2024)."
RAM08,INO2+HO2,0.45000*HO+0.95000*INALD+0.02000*IPX,3.1400E-11*exp(5.8000E+02/T),CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Wiser et al. 2023,https://doi.org/10.5194/gmd-16-1801-2023,"From AMOREv1.2 isoprene condensation of a detailed isoprene mechanism by Wennberg et al. (2018). For more details on the initial development of the AMORE technique and condensed isoprene mechanism (i.e., AMOREv1.0), see Wiser et al. (2023). For more details specific to AMOREv1.2, see Skipper et al. (2024)."
RAM09,INO2+NO,0.15000*MVK+0.65000*INALD+0.05000*ISON+0.20000*HCHO+1.30000*NO2,9.4200E-12*exp(5.8000E+02/T),CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Wiser et al. 2023,https://doi.org/10.5194/gmd-16-1801-2023,"From AMOREv1.2 isoprene condensation of a detailed isoprene mechanism by Wennberg et al. (2018). For more details on the initial development of the AMORE technique and condensed isoprene mechanism (i.e., AMOREv1.0), see Wiser et al. (2023). For more details specific to AMOREv1.2, see Skipper et al. (2024)."
RAM10,ISON+HO,HO+0.35000*INALD+0.17000*IEPOX+0.65000*NO2,2.4000E-11*exp(3.9000E+02/T),CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Wiser et al. 2023,https://doi.org/10.5194/gmd-16-1801-2023,"From AMOREv1.2 isoprene condensation of a detailed isoprene mechanism by Wennberg et al. (2018). For more details on the initial development of the AMORE technique and condensed isoprene mechanism (i.e., AMOREv1.0), see Wiser et al. (2023). For more details specific to AMOREv1.2, see Skipper et al. (2024)."
RAM11,HO+INALD,CO+NO2+0.30000*HO2+HCHO,1.5000E-11,CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Wiser et al. 2023,https://doi.org/10.5194/gmd-16-1801-2023,"From AMOREv1.2 isoprene condensation of a detailed isoprene mechanism by Wennberg et al. (2018). For more details on the initial development of the AMORE technique and condensed isoprene mechanism (i.e., AMOREv1.0), see Wiser et al. (2023). For more details specific to AMOREv1.2, see Skipper et al. (2024)."
RAM12,ISON,HNO3+ROH,4.0000E-05,CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Wiser et al. 2023,https://doi.org/10.5194/gmd-16-1801-2023,"From AMOREv1.2 isoprene condensation of a detailed isoprene mechanism by Wennberg et al. (2018). For more details on the initial development of the AMORE technique and condensed isoprene mechanism (i.e., AMOREv1.0), see Wiser et al. (2023). For more details specific to AMOREv1.2, see Skipper et al. (2024)."
RAM13,IPX+HO,0.57000*MACR+0.43000*MVK,3.0000E-12,CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Wiser et al. 2023,https://doi.org/10.5194/gmd-16-1801-2023,"From AMOREv1.2 isoprene condensation of a detailed isoprene mechanism by Wennberg et al. (2018). For more details on the initial development of the AMORE technique and condensed isoprene mechanism (i.e., AMOREv1.0), see Wiser et al. (2023). For more details specific to AMOREv1.2, see Skipper et al. (2024)."
R087,API+HO,0.97500*APIP1+0.02500*APIP2,1.2100E-11*exp(4.4000E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R088,LIM+HO,0.94500*LIMP1+0.05500*LIMP2,4.2000E-11*exp(4.0100E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
TRP04,PINAL+HO,0.23000*PINALP+0.77000*RCO3,5.2000E-12*exp(6.0000E+02/T),CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
TRP05,LIMAL+HO,0.83000*LIMALP+0.17000*RCO3,1.1000E-10,CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Schwantes et al. 2020,https://doi.org/10.5194/acp-20-3739-2020,Reactions and products in the LIM system have been updated based on limonene chemistry in the MOZART-TS2 mechanism developed by Schwantes et al. (2020).
R089,HCHO+HO,HO2+CO,5.5000E-12*exp(1.2500E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R090,ACD+HO,ACO3,4.7000E-12*exp(3.4500E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R091,ALD+HO,RCO3,4.9000E-12*exp(4.0500E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R092,ACT+HO,ACTP,4.5600E-14*exp(-4.2700E+02/T)*(T/300)^(3.6500E+00),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R093,MEK+HO,MEKP,1.5000E-12*exp(-9.0000E+01/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R094,KET+HO,KETP,2.8000E-12*exp(1.0000E+01/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
